,header,hsp_score,query_coverage,E_value,max_identity
19,MJ006-2-barcode64-umi177226bins-ubs-3,407,101.24378109452736,1.8024616012174135e-117,32.68
12,MJ006-1-barcode39-umi247479bins-ubs-3,405,100.74626865671641,7.214711348462683e-117,80.49
9,MJ006-1-barcode34-umi141182bins-ubs-4,404,102.48756218905473,1.4439152584111426e-116,27.43
41,MJ006-2-barcode53-umi111043bins-ubs-4,402,100.0,5.760093214146876e-116,100.0
26,MJ006-1-barcode34-umi111095bins-ubs-4,402,100.0,5.7639851690213e-116,100.0
36,MJ006-1-barcode28-umi104405bins-ubs-4,402,100.0,5.760093214146876e-116,100.0
1,RS-GCF-003287405.1-NZ-PRLD01000048.1,402,100.0,5.869067950630736e-116,100.0
40,MJ006-2-barcode53-umi103497bins-ubs-5,402,100.0,5.760093214146876e-116,100.0
25,MJ006-1-barcode27-umi198591bins-ubs-3,402,100.99502487562188,5.7639851690213e-116,55.91
42,MJ006-2-barcode53-umi122690bins-ubs-4,402,100.0,5.760093214146876e-116,100.0
