,header,hsp_score,query_coverage,E_value,max_identity
1,RS-GCF-003287405.1-NZ-PRLD01000048.1,380,94.5273631840796,2.46166551816023e-109,100.0
5,RS-GCF-003434135.1-NZ-QVFB01000003.1,380,94.5273631840796,2.46166551816023e-109,100.0
40,MJ006-2-barcode53-umi103497bins-ubs-5,380,94.5273631840796,2.41595820084691e-109,100.0
36,MJ006-1-barcode28-umi104405bins-ubs-4,380,94.5273631840796,2.41595820084691e-109,100.0
41,MJ006-2-barcode53-umi111043bins-ubs-4,380,94.5273631840796,2.41595820084691e-109,100.0
45,MJ006-2-barcode66-umi102879bins-ubs-5,380,94.5273631840796,2.41595820084691e-109,100.0
26,MJ006-1-barcode34-umi111095bins-ubs-4,380,94.5273631840796,2.4175906050366713e-109,100.0
42,MJ006-2-barcode53-umi122690bins-ubs-4,380,94.5273631840796,2.41595820084691e-109,100.0
12,MJ006-1-barcode39-umi247479bins-ubs-3,378,94.77611940298507,9.683421653664777e-109,99.74
19,MJ006-2-barcode64-umi177226bins-ubs-3,378,94.77611940298507,9.67689203690573e-109,99.74
