,RS-GCF-016900015.1-NZ-JACJJM010000071.1,RS-GCF-016888505.1-NZ-JAFEKH010000002.1--3,RS-GCF-902387545.1-NZ-LR699004.1,RS-GCF-000403195.1-NZ-KE159508.1,GB-GCA-008681195.1-NAJU01000003.1,RS-GCF-002159615.1-NZ-NFJA01000192.1,RS-GCF-013618865.1-NZ-JABSOE010000178.1,G900291465,CP002530,G000157915,G000312445,G000613805,G000190575,G900066445,MJ010-1-barcode30-umi45731bins-ubs-15,MJ010-2-barcode59-umi148169bins-ubs-3,MJ009-1-barcode40-umi103517bins-ubs-3,MJ030-1-barcode27-umi104992bins-ubs-3,MJ030-1-barcode49-umi11453bins-ubs-36,MJ006-2-barcode56-umi117754bins-ubs-4,MJ006-2-barcode56-umi119354bins-ubs-3,MJ030-1-barcode27-umi100044bins-ubs-4,MJ030-1-barcode27-umi100384bins-ubs-3,MJ030-1-barcode27-umi122282bins-ubs-3,MJ030-2-barcode67-umi101484bins-ubs-3,MJ030-2-barcode67-umi81336bins-ubs-6,MJ030-2-barcode67-umi79657bins-ubs-6,MJ030-2-barcode67-umi95193bins-ubs-4,RS-GCF-013293875.1-NZ-JAAKAY010000136.1,AB253726,MJ006-2-barcode58-umi107490bins-ubs-4,GB-GCA-017851055.1-JAFIKZ010000022.1,GB-GCA-003463985.1-QSEI01000001.1,GB-GCA-008680865.1-NAKJ01000005.1,RS-GCF-003467165.1-NZ-QSFG01000004.1,MJ006-1-barcode30-umi222926bins-ubs-3,MJ009-1-barcode32-umi1917bins-ubs-209,MJ030-1-barcode27-umi115739bins-ubs-3,MJ005-barcode51-umi42838bins-ubs-6,MJ010-2-barcode59-umi148334bins-ubs-3,MJ030-1-barcode27-umi28636bins-ubs-18,MJ005-barcode49-umi18104bins-ubs-12,MJ005-barcode49-umi26752bins-ubs-9,MJ006-1-barcode32-umi126006bins-ubs-3,MJ006-2-barcode59-umi141236bins-ubs-3,MJ030-1-barcode27-umi101243bins-ubs-3,MJ030-1-barcode27-umi104758bins-ubs-4,MJ030-2-barcode66-umi23417bins-ubs-28,MJ030-2-barcode66-umi103350bins-ubs-4,RS-GCF-902374375.1-NZ-CABKPU010000006.1,RS-GCF-015551785.1-NZ-JADNDJ010000070.1
1,"((0, 361.0), (23, 384.0))","((0, 359.0), (24, 383.0))","((0, 359.0), (24, 383.0))","((0, 356.0), (23, 379.0))","((0, 357.0), (57, 414.0))","((0, 357.0), (23, 380.0))","((0, 357.0), (57, 414.0))","((0, 359.0), (23, 382.0))","((0, 357.0), (49, 406.0))","((0, 355.0), (58, 413.0))","((0, 355.0), (23, 378.0))","((0, 357.0), (23, 380.0))","((0, 357.0), (23, 380.0))","((0, 355.0), (57, 412.0))","((0, 335.0), (23, 358.0))","((0, 334.0), (65, 399.0))","((0, 335.0), (57, 392.0))","((0, 332.0), (88, 420.0))","((0, 332.0), (23, 355.0))","((0, 332.0), (23, 355.0))","((0, 332.0), (99, 431.0))","((0, 332.0), (88, 420.0))","((0, 332.0), (23, 355.0))","((0, 332.0), (24, 356.0))","((0, 330.0), (23, 353.0))","((0, 331.0), (23, 354.0))","((0, 330.0), (24, 354.0))","((0, 330.0), (24, 354.0))","((0, 357.0), (24, 381.0))","((0, 339.0), (65, 404.0))","((0, 335.0), (422, 757.0))","((28, 385.0), (57, 414.0))","((28, 385.0), (57, 414.0))","((28, 385.0), (57, 414.0))","((28, 385.0), (57, 414.0))","((28, 374.0), (57, 403.0))","((28, 364.0), (99, 435.0))","((28, 364.0), (88, 424.0))","((28, 363.0), (99, 434.0))","((28, 363.0), (99, 434.0))","((28, 363.0), (99, 434.0))","((28, 363.0), (57, 392.0))","((28, 363.0), (57, 392.0))","((28, 363.0), (57, 392.0))","((28, 363.0), (57, 392.0))","((28, 360.0), (88, 420.0))","((28, 360.0), (88, 420.0))","((28, 359.0), (55, 386.0))","((28, 358.0), (55, 385.0))","((28, 385.0), (57, 414.0))","((141, 244.0), (286, 389.0))"
2,"((24, 385.0), (49, 410.0))","((26, 385.0), (286, 645.0))","((26, 385.0), (286, 645.0))","((24, 380.0), (65, 421.0))","((139, 496.0), (181, 538.0))","((24, 381.0), (49, 406.0))","((139, 496.0), (181, 538.0))","((24, 383.0), (88, 447.0))","((139, 496.0), (181, 538.0))","((139, 495.0), (181, 537.0))","((139, 494.0), (181, 536.0))","((24, 381.0), (99, 456.0))","((24, 381.0), (49, 406.0))","((139, 494.0), (181, 536.0))","((24, 359.0), (99, 434.0))","((128, 462.0), (226, 560.0))","((139, 474.0), (181, 516.0))","((127, 459.0), (226, 558.0))","((25, 357.0), (99, 431.0))","((24, 356.0), (99, 431.0))","((120, 452.0), (226, 558.0))","((127, 459.0), (226, 558.0))","((25, 357.0), (57, 389.0))","((25, 357.0), (57, 389.0))","((24, 354.0), (87, 417.0))","((24, 355.0), (87, 418.0))","((25, 355.0), (87, 417.0))","((25, 355.0), (87, 417.0))","((28, 385.0), (87, 444.0))","((66, 405.0), (88, 427.0))",,"((128, 485.0), (226, 583.0))","((139, 496.0), (181, 538.0))","((139, 496.0), (181, 538.0))","((139, 496.0), (181, 538.0))","((139, 485.0), (181, 527.0))","((120, 456.0), (252, 588.0))","((149, 485.0), (177, 513.0))","((139, 474.0), (181, 516.0))","((139, 474.0), (181, 516.0))","((139, 474.0), (181, 516.0))","((139, 474.0), (181, 516.0))","((139, 474.0), (181, 516.0))","((139, 474.0), (181, 516.0))","((139, 474.0), (181, 516.0))","((127, 459.0), (226, 558.0))","((127, 459.0), (226, 558.0))","((139, 470.0), (181, 512.0))","((139, 469.0), (181, 511.0))","((139, 496.0), (181, 538.0))","((287, 390.0), (422, 525.0))"
3,"((139, 500.0), (181, 542.0))","((287, 646.0), (422, 781.0))","((287, 646.0), (422, 781.0))","((66, 422.0), (99, 455.0))","((182, 539.0), (219, 576.0))","((139, 496.0), (181, 538.0))","((182, 539.0), (219, 576.0))","((139, 498.0), (181, 540.0))","((182, 539.0), (223, 580.0))","((182, 538.0), (223, 579.0))","((182, 537.0), (226, 581.0))","((120, 477.0), (183, 540.0))","((139, 496.0), (181, 538.0))","((182, 537.0), (223, 578.0))","((139, 474.0), (181, 516.0))","((230, 564.0), (273, 607.0))","((182, 517.0), (219, 554.0))","((230, 562.0), (273, 605.0))","((120, 452.0), (226, 558.0))","((120, 452.0), (226, 558.0))","((230, 562.0), (273, 605.0))","((230, 562.0), (273, 605.0))","((127, 459.0), (226, 558.0))","((127, 459.0), (226, 558.0))","((128, 458.0), (226, 556.0))","((128, 459.0), (226, 557.0))","((128, 458.0), (226, 556.0))","((128, 458.0), (226, 556.0))","((108, 465.0), (222, 579.0))","((139, 478.0), (181, 520.0))",,"((230, 587.0), (273, 630.0))","((182, 539.0), (219, 576.0))","((184, 541.0), (219, 576.0))","((182, 539.0), (219, 576.0))","((182, 528.0), (219, 565.0))","((263, 599.0), (286, 622.0))","((182, 518.0), (222, 558.0))","((182, 517.0), (226, 561.0))","((182, 517.0), (226, 561.0))","((182, 517.0), (226, 561.0))","((182, 517.0), (219, 554.0))","((182, 517.0), (219, 554.0))","((182, 517.0), (219, 554.0))","((182, 517.0), (219, 554.0))","((230, 562.0), (273, 605.0))","((231, 563.0), (273, 605.0))","((182, 513.0), (222, 553.0))","((182, 512.0), (222, 552.0))","((182, 539.0), (219, 576.0))",
4,"((182, 543.0), (226, 587.0))",,,"((120, 476.0), (226, 582.0))","((230, 587.0), (284, 641.0))","((182, 539.0), (219, 576.0))","((240, 597.0), (284, 641.0))","((182, 541.0), (226, 585.0))","((240, 597.0), (278, 635.0))","((298, 654.0), (355, 711.0))","((310, 664.0), (337, 691.0))","((184, 541.0), (250, 607.0))","((182, 539.0), (223, 580.0))","((301, 656.0), (355, 710.0))","((182, 517.0), (226, 561.0))","((306, 640.0), (373, 707.0))","((308, 643.0), (373, 708.0))","((306, 638.0), (373, 705.0))","((230, 562.0), (273, 605.0))","((230, 562.0), (273, 605.0))","((306, 638.0), (373, 705.0))","((306, 638.0), (373, 705.0))","((230, 562.0), (273, 605.0))","((230, 562.0), (273, 605.0))","((230, 560.0), (273, 603.0))","((230, 561.0), (273, 604.0))","((230, 560.0), (273, 603.0))","((230, 560.0), (273, 603.0))","((223, 580.0), (286, 643.0))","((182, 521.0), (223, 562.0))",,"((306, 663.0), (373, 730.0))","((308, 665.0), (373, 730.0))","((308, 665.0), (373, 730.0))","((308, 665.0), (373, 730.0))","((308, 654.0), (373, 719.0))","((306, 642.0), (373, 709.0))","((229, 565.0), (252, 588.0))","((306, 641.0), (367, 702.0))","((298, 633.0), (355, 690.0))","((306, 641.0), (367, 702.0))","((308, 643.0), (373, 708.0))","((308, 643.0), (373, 708.0))","((308, 643.0), (373, 708.0))","((308, 643.0), (373, 708.0))","((306, 638.0), (373, 705.0))","((306, 638.0), (373, 705.0))","((310, 640.0), (372, 702.0))","((310, 639.0), (358, 687.0))","((308, 665.0), (373, 730.0))",
5,"((310, 671.0), (372, 733.0))",,,"((230, 586.0), (273, 629.0))","((288, 645.0), (355, 712.0))","((240, 597.0), (278, 635.0))","((308, 665.0), (373, 730.0))","((310, 669.0), (372, 731.0))","((301, 658.0), (337, 694.0))","((356, 712.0), (382, 738.0))","((338, 692.0), (360, 714.0))","((266, 623.0), (295, 652.0))","((240, 597.0), (278, 635.0))","((398, 753.0), (422, 777.0))","((306, 641.0), (367, 702.0))","((381, 715.0), (422, 756.0))","((398, 733.0), (422, 757.0))","((398, 730.0), (422, 754.0))","((306, 638.0), (373, 705.0))","((306, 638.0), (373, 705.0))","((398, 730.0), (422, 754.0))","((381, 713.0), (422, 754.0))","((306, 638.0), (373, 705.0))","((306, 638.0), (373, 705.0))","((306, 636.0), (373, 703.0))","((306, 637.0), (373, 704.0))","((306, 636.0), (373, 703.0))","((306, 636.0), (373, 703.0))","((287, 644.0), (422, 779.0))","((288, 627.0), (355, 694.0))",,"((398, 755.0), (422, 779.0))","((398, 755.0), (422, 779.0))","((398, 755.0), (422, 779.0))","((398, 755.0), (422, 779.0))","((398, 744.0), (422, 768.0))","((385, 721.0), (422, 758.0))","((310, 646.0), (372, 708.0))","((398, 733.0), (422, 757.0))","((398, 733.0), (422, 757.0))","((398, 733.0), (422, 757.0))","((398, 733.0), (422, 757.0))","((398, 733.0), (422, 757.0))","((398, 733.0), (422, 757.0))","((398, 733.0), (422, 757.0))","((398, 730.0), (422, 754.0))","((398, 730.0), (422, 754.0))",,,"((398, 755.0), (422, 779.0))",
6,,,,"((306, 662.0), (373, 729.0))","((398, 755.0), (422, 779.0))","((308, 665.0), (337, 694.0))","((398, 755.0), (422, 779.0))","((398, 757.0), (422, 781.0))","((356, 713.0), (379, 736.0))",,,"((306, 663.0), (373, 730.0))","((301, 658.0), (337, 694.0))",,"((398, 733.0), (422, 757.0))",,,,"((381, 713.0), (422, 754.0))","((398, 730.0), (422, 754.0))",,,"((381, 713.0), (422, 754.0))","((398, 730.0), (422, 754.0))","((381, 711.0), (422, 752.0))","((386, 717.0), (422, 753.0))","((381, 711.0), (422, 752.0))","((381, 711.0), (422, 752.0))",,"((356, 695.0), (392, 731.0))",,,,,,,,"((398, 734.0), (422, 758.0))",,,,,,,,,,,,,
7,,,,"((398, 754.0), (422, 778.0))",,,,,,,,"((385, 742.0), (422, 779.0))","((356, 713.0), (379, 736.0))",,,,,,,,,,,,,,,,,"((393, 732.0), (422, 761.0))",,,,,,,,,,,,,,,,,,,,,
