,header,hsp_score,query_coverage,E_value,max_identity
3,RS-GCF-003287455.1-NZ-PRLC01000040.1,368,94.5273631840796,1.0082981962384301e-105,98.42
37,MJ006-1-barcode30-umi123205bins-ubs-5,366,94.5273631840796,3.958305916267577e-105,98.16
2,RS-GCF-003287415.1-NZ-PRKZ01000021.1,366,94.5273631840796,4.0331927849537205e-105,98.16
9,MJ006-1-barcode34-umi141182bins-ubs-4,365,95.52238805970148,7.938008080731195e-105,97.92
7,MJ006-1-barcode37-umi180375bins-ubs-3,365,95.77114427860697,7.964753390976246e-105,97.92
0,GB-GCA-905208235.1-CAJLOF010000165.1,365,90.79601990049751,8.066385569907441e-105,100.0
28,MJ006-2-barcode60-umi50108bins-ubs-7,364,94.5273631840796,1.584392178916833e-104,97.89
10,MJ005-barcode26-umi96573bins-ubs-3,359,95.02487562189054,5.076901771956598e-103,97.38
22,MJ005-barcode58-umi75824bins-ubs-3,344,94.77611940298507,1.661355613399897e-98,95.28
29,MJ006-2-barcode66-umi101378bins-ubs-5,328,94.77611940298507,1.0887860147977565e-93,93.18
