,GB-GCA-905208235.1-CAJLOF010000165.1,RS-GCF-003287405.1-NZ-PRLD01000048.1,RS-GCF-003287415.1-NZ-PRKZ01000021.1,RS-GCF-003287455.1-NZ-PRLC01000040.1,RS-GCF-003287485.1-NZ-PRLB01000036.1,RS-GCF-003434135.1-NZ-QVFB01000003.1,MJ006-2-barcode71-umi68403bins-ubs-7,MJ006-1-barcode37-umi180375bins-ubs-3,MJ006-1-barcode30-umi152763bins-ubs-3,MJ006-1-barcode34-umi141182bins-ubs-4,MJ005-barcode26-umi96573bins-ubs-3,MJ006-1-barcode39-umi152737bins-ubs-3,MJ006-1-barcode39-umi247479bins-ubs-3,MJ005-barcode33-umi15477bins-ubs-12,MJ005-barcode81-umi57251bins-ubs-5,MJ006-1-barcode27-umi190468bins-ubs-4,MJ006-1-barcode32-umi100577bins-ubs-3,MJ006-1-barcode39-umi238076bins-ubs-3,MJ006-2-barcode50-umi195437bins-ubs-3,MJ006-2-barcode64-umi177226bins-ubs-3,MJ005-barcode27-umi96037bins-ubs-3,MJ005-barcode58-umi108212bins-ubs-3,MJ005-barcode58-umi75824bins-ubs-3,MJ006-1-barcode26-umi106332bins-ubs-4,MJ006-1-barcode26-umi131386bins-ubs-3,MJ006-1-barcode27-umi198591bins-ubs-3,MJ006-1-barcode34-umi111095bins-ubs-4,MJ006-1-barcode47-umi223329bins-ubs-3,MJ006-2-barcode60-umi50108bins-ubs-7,MJ006-2-barcode66-umi101378bins-ubs-5,MJ006-2-barcode67-umi137949bins-ubs-5,MJ005-barcode33-umi10556bins-ubs-19,MJ005-barcode33-umi14061bins-ubs-13,MJ005-barcode74-umi33267bins-ubs-7,MJ006-1-barcode25-umi11569bins-ubs-18,MJ006-1-barcode27-umi70956bins-ubs-6,MJ006-1-barcode28-umi104405bins-ubs-4,MJ006-1-barcode30-umi123205bins-ubs-5,MJ006-1-barcode38-umi101000bins-ubs-4,MJ006-2-barcode50-umi103476bins-ubs-5,MJ006-2-barcode53-umi103497bins-ubs-5,MJ006-2-barcode53-umi111043bins-ubs-4,MJ006-2-barcode53-umi122690bins-ubs-4,MJ006-2-barcode64-umi81369bins-ubs-5,MJ006-2-barcode64-umi98457bins-ubs-6,MJ006-2-barcode66-umi102879bins-ubs-5,MJ006-2-barcode66-umi141101bins-ubs-3,MJ006-2-barcode67-umi1872bins-ubs-49,MJ006-2-barcode67-umi7916bins-ubs-22
1,"[0, 354.0, 387, 741.0]","[0, 354.0, 402, 756.0]","[0, 354.0, 207, 561.0]","[0, 354.0, 207, 561.0]","[0, 354.0, 208, 562.0]","[0, 354.0, 402, 756.0]","[0, 346.0, 87, 433.0]","[0, 333.0, 26, 359.0]","[0, 334.0, 87, 421.0]","[0, 331.0, 23, 354.0]","[0, 331.0, 22, 353.0]","[0, 331.0, 229, 560.0]","[0, 333.0, 299, 632.0]","[0, 333.0, 87, 420.0]","[0, 332.0, 207, 539.0]","[0, 331.0, 87, 418.0]","[0, 332.0, 229, 561.0]","[0, 331.0, 23, 354.0]","[0, 333.0, 229, 562.0]","[0, 332.0, 23, 355.0]","[0, 331.0, 23, 354.0]","[0, 331.0, 87, 418.0]","[0, 331.0, 87, 418.0]","[0, 331.0, 207, 538.0]","[0, 332.0, 229, 561.0]","[0, 331.0, 153, 484.0]","[0, 331.0, 402, 733.0]","[0, 331.0, 23, 354.0]","[0, 332.0, 69, 401.0]","[0, 331.0, 207, 538.0]","[0, 331.0, 28, 359.0]","[0, 331.0, 23, 354.0]","[0, 331.0, 229, 560.0]","[0, 331.0, 208, 539.0]","[0, 331.0, 208, 539.0]","[0, 331.0, 229, 560.0]","[0, 331.0, 402, 733.0]","[0, 331.0, 207, 538.0]","[0, 331.0, 87, 418.0]","[0, 331.0, 229, 560.0]","[0, 331.0, 402, 733.0]","[0, 331.0, 402, 733.0]","[0, 331.0, 402, 733.0]","[0, 331.0, 87, 418.0]","[0, 331.0, 229, 560.0]","[0, 331.0, 402, 733.0]","[0, 331.0, 229, 560.0]","[0, 331.0, 87, 418.0]","[0, 331.0, 87, 418.0]"
2,,,"[211, 565.0, 263, 617.0]","[211, 565.0, 263, 617.0]","[210, 564.0, 402, 756.0]",,"[107, 453.0, 229, 575.0]","[42, 377.0, 229, 564.0]","[107, 441.0, 229, 563.0]","[18, 351.0, 87, 420.0]","[19, 349.0, 87, 417.0]","[246, 577.0, 329, 660.0]","[296, 630.0, 402, 736.0]","[107, 440.0, 229, 562.0]","[210, 543.0, 402, 735.0]","[107, 438.0, 229, 560.0]","[246, 578.0, 402, 734.0]","[26, 359.0, 229, 562.0]","[246, 579.0, 402, 735.0]","[18, 351.0, 402, 735.0]","[18, 350.0, 207, 539.0]","[107, 438.0, 229, 560.0]","[107, 439.0, 229, 561.0]","[210, 542.0, 402, 734.0]","[246, 578.0, 402, 734.0]","[149, 481.0, 229, 561.0]",,"[18, 350.0, 207, 539.0]","[70, 402.0, 207, 539.0]","[246, 578.0, 402, 734.0]","[29, 360.0, 87, 418.0]","[24, 355.0, 229, 560.0]","[246, 577.0, 402, 733.0]","[210, 541.0, 402, 733.0]","[210, 541.0, 402, 733.0]","[246, 577.0, 402, 733.0]",,"[211, 542.0, 263, 594.0]","[107, 438.0, 229, 560.0]","[246, 577.0, 402, 733.0]",,,,"[107, 438.0, 229, 560.0]","[246, 577.0, 402, 733.0]",,"[246, 577.0, 402, 733.0]","[107, 438.0, 237, 568.0]","[107, 438.0, 402, 733.0]"
3,,,"[267, 621.0, 402, 756.0]","[267, 621.0, 402, 756.0]",,,"[246, 592.0, 402, 748.0]","[246, 581.0, 268, 603.0]","[246, 580.0, 402, 736.0]","[107, 440.0, 148, 481.0]","[107, 437.0, 195, 525.0]","[326, 658.0, 402, 734.0]",,"[246, 579.0, 402, 735.0]",,"[246, 577.0, 402, 733.0]",,"[246, 579.0, 402, 735.0]",,,"[208, 540.0, 264, 596.0]","[246, 577.0, 402, 733.0]","[246, 578.0, 402, 734.0]",,,"[246, 578.0, 402, 734.0]",,"[208, 540.0, 264, 596.0]","[211, 543.0, 263, 595.0]",,"[107, 438.0, 402, 733.0]","[246, 577.0, 402, 733.0]",,,,,,"[267, 598.0, 402, 733.0]","[246, 577.0, 402, 733.0]",,,,,"[246, 577.0, 402, 733.0]",,,,"[238, 569.0, 402, 733.0]",
4,,,,,,,,"[263, 600.0, 354, 691.0]",,"[146, 480.0, 207, 541.0]","[192, 523.0, 229, 560.0]",,,,,,,,,,"[267, 599.0, 402, 734.0]",,,,,,,"[267, 599.0, 402, 734.0]","[267, 599.0, 402, 734.0]",,,,,,,,,,,,,,,,,,,,
5,,,,,,,,"[352, 690.0, 402, 740.0]",,"[204, 539.0, 229, 564.0]","[246, 577.0, 268, 599.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,"[246, 581.0, 402, 737.0]","[280, 612.0, 402, 734.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
